cell_id,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,NDBI,NDWI,BSI,VV,VH,VH_VV_diff_db,ghs_built,viirs_radiance,elevacion,pendiente_grados,poblacion,vias_long_m,dist_via_principal_m,n_edificios,area_total_m2,area_media_m2,area_std_m2,compacidad_media,es_positivo,es_negativo,etiqueta,centroid_x_utm,centroid_y_utm
5816,0.0834,0.1262,0.1364,0.1945,0.2748,0.2992,0.2897,0.3234,0.2755,0.2109,0.35977468,-0.025123855,-0.39312336,0.049426716,-8.555871343693784,-14.703285569573826,-6.147414225880041,2427,71.15597,15.731055,0.9414669,93.6699,154.83387106803153,1013.3349532051128,1.0,211.0261475069664,211.0261475069664,0.0,0.6021884290104231,False,False,,446548.27082237665,1145047.7220254834
5817,0.0882,0.1216,0.1341,0.1825,0.2704,0.3053,0.312,0.3334,0.3065,0.2125,0.39878953,-0.008892512,-0.4391144,0.04804944,-9.730580056489146,-14.793494808099041,-5.062914751609895,132,71.15597,19.130793,9.043284,93.60266,227.42320320275215,1062.3042826533162,8.0,803.7479737108416,100.4684967138552,50.975688131880524,0.7581209081548329,False,False,,446548.27082237665,1145147.7220254834
5818,0.0995,0.1337,0.152,0.1869,0.2564,0.2812,0.2801,0.2889,0.2746,0.218,0.29645914,-0.009915249,-0.35379407,0.05829818,-2.988028339978445,-13.564197479328602,-10.576169139350156,1217,71.15597,32.2824,8.601363,93.41739,391.65976280149533,1117.4063220536198,20.0,1228.8895112563398,61.44447556281699,29.72789988135867,0.7504360199978155,False,False,,446548.27082237665,1145247.7220254834
5819,0.0953,0.1381,0.1537,0.2009,0.2755,0.3082,0.3114,0.3291,0.3091,0.2258,0.3390669,-0.003706679,-0.3855395,0.06451985,-2.9102119081741,-13.565172844226204,-10.654960936052104,2854,71.15597,33.28945,7.1358447,93.49952,347.6940745306989,1177.4830624538854,21.0,1620.1081599354688,77.1480076159747,43.00991410557845,0.7040187731709198,False,False,,446548.27082237665,1145347.7220254836
5820,0.07855,0.10055,0.1023,0.14685,0.21465,0.24515,0.21915,0.267,0.2357,0.17095,0.36350912,0.036385596,-0.37097278,0.06339466,-1.9303226927003179,-14.413669665339519,-12.4833469726392,1325,71.15597,38.39596,10.573425,93.28178,610.3197812301632,1241.5613090529846,32.0,1700.6511699179357,53.14534905993549,32.884113425038976,0.731157376319667,False,False,,446548.27082237665,1145447.7220254836
5821,0.097,0.1257,0.1413,0.1737,0.2238,0.2429,0.2266,0.2608,0.2558,0.2044,0.23185651,0.060530685,-0.28640366,0.10198419,-1.0020325645584167,-16.0835929815403,-15.081560416981883,3347,52.113533,34.12657,8.215738,91.29975,761.7870892413924,1309.5296015895588,39.0,2080.980195123093,53.358466541617766,26.467971811558,0.7459430706704171,False,False,,446548.27082237665,1145547.7220254836
5822,0.0517,0.0749,0.0814,0.1262,0.2327,0.2804,0.2696,0.3159,0.252,0.172,0.5361823,-0.03374233,-0.5651669,0.018481763,-7.637645392836301,-14.764969314157096,-7.127323921320794,62,52.113533,31.722464,10.82843,92.76221,251.12975587807188,1381.3982303236296,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1145647.7220254836
5823,0.1363,0.1709,0.1903,0.2189,0.2527,0.2765,0.2732,0.2924,0.3261,0.2738,0.17885652,0.08826962,-0.23035352,0.11545521,-5.492452964512378,-14.173490721353236,-8.681037756840858,0,52.113533,41.1808,0.61536634,93.85957,509.81052949236783,1456.2634856734346,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1145747.7220254836
5824,0.0811,0.10225,0.1097,0.14825,0.2181,0.2442,0.2432,0.2721,0.2607,0.18375,0.37829417,0.034729082,-0.4080185,0.066359565,-1.4408073312891236,-11.916876738661124,-10.476069407372,3,52.113533,34.309784,11.88901,92.74523,879.137632550805,1533.5013977874055,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1145847.7220254836
5825,0.0781,0.10535,0.1096,0.15645,0.2499,0.2833,0.28875,0.3164,0.27675,0.1883,0.4497301,-0.02122015,-0.46536407,0.02588956,-6.618531271220158,-12.812899062271073,-6.194367791050915,0,52.113533,24.731472,7.104207,91.6646,937.2733014400126,1612.625015434767,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1145947.7220254836
5826,0.0966,0.1259,0.1388,0.1683,0.2003,0.2203,0.208,0.2219,0.2589,0.2163,0.19953866,0.10901689,-0.245882,0.13256441,-7.161578980110572,-12.643807529209584,-5.482228549099012,3244,63.914803,22.987936,2.632875,92.05682,776.7167471975057,1693.7569422065583,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146047.7220254836
5827,0.0827,0.107,0.1146,0.1518,0.2098,0.2435,0.2254,0.2526,0.2423,0.185,0.32588235,0.03613428,-0.35619736,0.073383495,-7.819546400195472,-15.007295875129813,-7.187749474934341,3589,63.914803,26.767921,13.620945,93.870186,968.9423341933377,1776.8133605249138,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146147.7220254836
5828,0.1235,0.1587,0.1743,0.2003,0.2564,0.2853,0.2791,0.3093,0.3084,0.2549,0.23114248,0.04987235,-0.27501142,0.09047781,-7.737089262655251,-14.193565502635703,-6.456476239980452,2971,63.914803,36.512424,5.4847436,97.70237,911.8694704259726,1861.3991567637263,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146247.7220254836
5829,0.05825,0.0854,0.1047,0.15185,0.22275,0.25885,0.24885,0.29245,0.31715,0.2237,0.40772167,0.12067137,-0.48900524,0.15741819,-3.309855980325751,-13.55633757391282,-10.24648159358707,2286,63.914803,31.906998,3.8934531,97.759125,798.8585194015936,1859.0940304052917,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146347.7220254836
5830,0.1038,0.132,0.1438,0.1719,0.2277,0.2442,0.2568,0.2723,0.2965,0.2613,0.28207684,0.07175131,-0.32098764,0.09951304,-2.250736549075353,-13.06633303495979,-10.815596485884438,3026,63.914803,37.460056,4.5264564,98.99905,925.3434547519447,1825.563655191289,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146447.7220254836
5831,0.1186,0.1444,0.1691,0.1947,0.2133,0.2242,0.2192,0.2527,0.3404,0.3152,0.12902394,0.2165833,-0.20572056,0.20264372,-6.417534494781547,-13.246972642737646,-6.829438147956099,4393,76.141754,41.27998,4.8562846,97.8585,733.3812844835346,1787.7377791155193,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146547.7220254836
5832,0.13275,0.1585,0.17525,0.20125,0.2146,0.23035,0.22975,0.24865,0.3234,0.30555,0.13456793,0.16930306,-0.1835158,0.1581025,-10.405962675726354,-15.227496896450521,-4.821534220724168,4256,76.141754,42.538364,8.2829,96.81687,655.3655629244452,1747.937974822208,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146647.7220254836
5833,0.0934,0.1123,0.1217,0.1692,0.2005,0.2253,0.2125,0.2432,0.3078,0.2876,0.27169362,0.18316352,-0.30849755,0.16807178,-8.129502326599518,-13.57623948928465,-5.446737162685132,3775,76.141754,40.238964,5.9577174,98.57571,666.7782582873859,1709.2042495638032,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146747.7220254836
5834,0.0886,0.1103,0.1163,0.1495,0.1997,0.2301,0.2173,0.2525,0.2882,0.2706,0.3027578,0.14025716,-0.32661784,0.13879505,-7.797731220220831,-13.786271484419672,-5.988540264198841,4145,76.141754,35.775776,4.008139,98.305244,592.4445076021096,1670.8445411399557,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146847.7220254836
5835,0.04645,0.0716,0.05625,0.11745,0.2319,0.27345,0.26455,0.2922,0.1961,0.1369,0.64931417,-0.14859438,-0.57399976,-0.10410933,-6.406447864801516,-14.57466589026895,-8.168218025467434,4866,76.141754,36.521454,3.5500393,100.23772,562.4862795213827,1631.0301700612183,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1146947.7220254836
5836,0.10635,0.13265,0.13965,0.17335,0.2045,0.21545,0.21915,0.2418,0.31685,0.29135,0.22157192,0.18227611,-0.24587834,0.16751915,-6.774859462340981,-13.670446508523291,-6.89558704618231,5122,78.25721,35.520992,1.6493254,94.66372,888.207074070172,1579.957162871918,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147047.7220254836
5837,0.1331,0.1519,0.16505,0.19125,0.1981,0.209,0.207,0.23565,0.3194,0.31215,0.112753674,0.21352585,-0.15352468,0.1750652,-3.8934445590813285,-14.2927102801703,-10.399265721088973,6398,78.25721,35.52594,7.4874854,95.08325,739.944884522945,1481.2393497902644,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147147.7220254836
5838,0.1083,0.1303,0.1464,0.1606,0.1859,0.1995,0.1978,0.2316,0.2952,0.2691,0.14933175,0.19756593,-0.20572995,0.1812224,-7.170326799041489,-13.702498077240143,-6.532171278198654,4721,78.25721,24.006226,3.3496041,95.168625,687.1065816151141,1382.7058205648411,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147247.7220254836
5839,0.08795,0.10375,0.1136,0.1447,0.16655,0.1818,0.1819,0.2098,0.2812,0.2589,0.23113367,0.21442454,-0.27358657,0.18799372,-3.571935397614794,-11.838061682194116,-8.266126284579322,4810,78.25721,27.738007,4.092522,89.286934,696.1091113845548,1284.3989882745532,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147347.7220254836
5840,0.0999,0.1157,0.12755,0.15645,0.17105,0.1822,0.188,0.20425,0.2813,0.2653,0.19157024,0.19880676,-0.23806386,0.17359169,-0.16008389144012383,-8.897562957037774,-8.73747906559765,5380,78.25721,26.981379,3.3806074,87.87572,1118.4180123183946,1186.3752087503774,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147447.7220254836
5841,0.0689,0.0896,0.0898,0.1209,0.17405,0.2027,0.22055,0.23375,0.26335,0.22855,0.42129853,0.08844804,-0.42221507,0.099128574,-7.460082033936258,-13.40839945142655,-5.948317417490292,4750,95.42426,29.77653,3.9430509,88.354836,420.9054154861994,1088.710939962627,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147547.7220254836
5842,0.09085,0.114,0.11965,0.1365,0.18175,0.2137,0.20305,0.2263,0.2682,0.2313,0.2584444,0.13824935,-0.28087053,0.1378071,-8.495994273614043,-14.70345821349214,-6.207463939878098,4685,95.42426,27.748089,2.3069847,88.36378,368.73037787999067,991.5124233468345,0.0,0.0,0.0,0.0,0.0,False,False,,446548.27082237665,1147647.7220254836
5843,0.0961,0.1122,0.12175,0.1437,0.1639,0.17055,0.1712,0.1983,0.2595,0.23735,0.16880018,0.20501506,-0.20818634,0.1756996,-9.490769988612053,-15.249870032619857,-5.759100044007804,5495,95.42426,30.646992,0.8872808,88.41724,545.6114965996393,894.5787506130248,0.0,0.0,0.0,0.0,0.0,False,True,0.0,446548.27082237665,1147747.7220254836
5844,0.0962,0.1134,0.1203,0.1493,0.1664,0.1806,0.1852,0.2244,0.3224,0.3003,0.21243864,0.27029157,-0.24045548,0.22275929,-8.184721552117729,-13.262101705801769,-5.0773801536840395,5222,95.42426,30.231768,3.9233902,87.730545,521.5736664387542,797.0042874110874,0.0,0.0,0.0,0.0,0.0,False,True,0.0,446548.27082237665,1147847.7220254836
5845,0.12285,0.15435,0.1702,0.20395,0.2331,0.24595,0.2401,0.26195,0.30455,0.27325,0.17036311,0.11833288,-0.2173913,0.13346064,-9.917623404478451,-16.25930254598024,-6.341679141501789,4700,95.42426,24.970707,3.4004767,87.24777,608.8064474451573,699.8841066415206,0.0,0.0,0.0,0.0,0.0,False,True,0.0,446548.27082237665,1147947.7220254836
5846,0.1078,0.1256,0.1431,0.1713,0.1906,0.2097,0.1931,0.2415,0.3313,0.3032,0.14872104,0.26353925,-0.21179795,0.2237843,-7.6731474276322835,-12.797869015715527,-5.1247215880832435,3753,112.67303,27.72488,2.337316,86.47623,440.6486881034848,602.9012735364764,0.0,0.0,0.0,0.0,0.0,False,True,0.0,446548.27082237665,1148047.7220254836
5847,0.0799,0.11,0.1213,0.1744,0.2567,0.2928,0.2992,0.3241,0.3165,0.2349,0.4230678,0.028098116,-0.46236557,0.07185701,-9.306537860898871,-15.494656203938126,-6.188118343039255,3388,112.67303,17.167915,3.1664948,86.518295,337.04695327665263,506.09841641088536,16.0,2241.484963845318,140.09281024033237,45.05137443422522,0.6703768832924043,False,True,0.0,446548.27082237665,1148147.7220254836
5848,0.10895,0.13405,0.13745,0.165,0.1999,0.22665,0.23075,0.24945,0.31905,0.2867,0.2533949,0.16060388,-0.26507676,0.14669682,-4.6178931449538645,-14.418630728237853,-9.800737583283988,4633,112.67303,16.336838,0.5881632,85.52167,413.54730251328334,410.03355152121856,42.0,6122.301420790795,145.76908144739988,26.98912415066436,0.7005614371826206,False,True,0.0,446548.27082237665,1148247.7220254836
5849,0.1273,0.14955,0.16005,0.17015,0.18995,0.20725,0.20945,0.2234,0.27985,0.25675,0.13369419,0.14387901,-0.16685236,0.13281402,-7.105058151390891,-12.829318181815147,-5.724260030424256,5110,112.67303,11.26911,1.9521741,85.60166,474.6499973829113,315.1011125727857,38.0,5758.060007450936,151.52789493291937,41.692085571317214,0.713437303732923,False,True,0.0,446548.27082237665,1148347.7220254836
5850,0.0959,0.1175,0.12875,0.16025,0.1836,0.20235,0.1956,0.23325,0.29525,0.27425,0.20610453,0.20301516,-0.24944107,0.18518518,-7.394830499249269,-14.171786796346487,-6.776956297097217,5401,112.67303,10.172291,2.0938272,85.956085,537.2089410978439,222.22777899820628,36.0,6192.701380299033,172.01948278608427,19.280207356103404,0.6955787040459062,False,True,0.0,446548.27082237665,1148447.7220254836
5851,0.0921,0.111,0.1255,0.1492,0.155,0.1679,0.1687,0.199,0.3051,0.2762,0.14683889,0.2878852,-0.20629245,0.24558865,-2.6878191876371926,-13.628781807774853,-10.940962620137661,4807,135.83514,9.416443,0.58510727,86.373024,731.2580329817729,129.24053367500045,40.0,6390.070982650426,159.75177456626065,56.19880321376314,0.7092026098466291,False,True,0.0,446548.27082237665,1148547.7220254836
5852,0.1184,0.1357,0.148,0.1777,0.2123,0.2227,0.2105,0.2415,0.2631,0.2302,0.17433752,0.11106418,-0.21606009,0.111081064,-3.786890384307282,-10.24533166435946,-6.4584412800521775,3710,135.83514,14.352366,1.0449004,86.706566,972.1840544150508,36.06309445363101,18.0,2435.852964140592,135.32516467447735,90.3187137144747,0.6924436825227968,False,True,0.0,446548.27082237665,1148647.7220254836
